id,jurisdiction,name,type,target,target_category,effective_date,enforcement_date,removal_date,duration_days,date_uncertain,compliance,exemptions,enforcement_measures,executive_orders,removal_method,removal_details,authority,mandate_communications,ref_code
NSW-042,NSW,Public Health (COVID-19 Aged Care Facilities) Order,Employment,person providing disability services,aged_care,2022-02-25,2022-03-01,2022-11-30,278.0,False,"the person has received at least 3 doses of a COVID-19 vaccine, or (b) the person— (i) has received 2 doses of a COVID-19 vaccine, and (ii) it is not after the later of the following—
(A) 12 April 2022, (B) 6 weeks from the due date for the person’s third dose of a COVID-19 vaccine.
the due date for a person’s third dose of a COVID-19 vaccine is the day that is 13 weeks after the person received the second dose of a COVID-19 vaccine.","(a) is unable, due to a medical contraindication, to be vaccinated against COVID-19, and
(b) presents to the responsible person for the worker a medical contraindication certificate issued to the worker.","Section 10 of the Public Health Act 2010 creates an offence if an individual fails to comply with a direction with a maximum penalty of imprisonment for 6 months or a fine of up to $11,000 (or both) plus a further $5,500 fine each day the offence continues. Corporations that fail to comply with a direction are liable to a fine of $55,000 and $27,500 each day the offence continues. The Public Health Regulation 2012 also enables authorised officers to issue penalty notices for offences against clause 6 by individuals for an amount of $4,000 and $1,000 in other cases.",Public Health (COVID-19 Care Services) Order (No 2) 2021,only the date was mentioned on the NSW public health order's page. The method was not mentioned in the order nor on the website,23/12/21 - Public Health Amendment (COVID-19 Medical Contraindication Certificates) Order 2021,Minister for Health and Medical Research,NSW Government Gazette: the official notification of the making of statutory instruments,NSWEDSWT1V2
NSW-043,NSW,SS 7.1.9 COVID-19 Vaccination,Employment,"All NSW Rural Fire Service staff, volunteers and external labour (contractors) located at NSW RFS sites and working in close
proximity to members.",emergency,2022-06-24,2022-06-30,,,False,"at least two doses of a COVID-19 vaccine approved by the
Therapeutic Goods Administration for use in Australia.
Members are required to report their vaccination status and ensure it is recorded in their membership record. (For more details check the document NSW RFS COVID-19 RISK MANAGEMENT:
VACCINATION AND STATUS REPORTING)","The RFS will continue to consider and apply exemptions to mandatory vaccination in accordance with our existing policy position, as follows:

Medical exemption – a temporary exemption may be available for members who are unable to be vaccinated due to medical contraindication(s).
Junior member exemption – Junior volunteer members are not required to be vaccinated against COVID-19, but are strongly encouraged to follow ATAGI recommendations.
Brigade exemption – Districts continue to work with the 424 brigades who told us they were not supportive of mandatory vaccination as it would significantly impact their ability to provide fire and emergency service to their communities. Exemptions will be considered and determined for these brigades by no later than 30 June 2022.","Where a staff member is found to be not complying with COVID-19 vaccination requirements in
this policy, the staff member will be instructed to take leave immediately. Staff may access
accrued recreation leave, extended leave, agreed absences (if eligible), and leave without pay, or
a combination of these types of leave for this purpose, but may not access sick leave or special
leave provisions.
5.2 If a medical exemption is accepted, an individual risk assessment will be performed to determine
if the staff member can continue in employment with additional control measures in place. Where
a workplace adjustment is required and cannot be made, consideration may be given to whether
the person can continue in employment.
5.3 If no exemption is granted it may be determined that the staff member has refused to comply with
a reasonable direction of the NSW RFS. Failure to comply with this reasonable direction may be
deemed a breach of the Service Standard 1.1.7 NSW RFS Code of Conduct and Ethics, may
result in misconduct action being undertaken in accordance with Section 69 of the Government
Sector Employment Act 2013, and may lead to termination of employment.",Service Standard 7.1.9 COVID-19 Vaccination advised by the NSW Work Health and Safety Act 2001,,,NSW Rural Fire Service Executive Director People and Strategy,"14/02/22: Released a document titled COVID-19 Vaccination Information for Volunteer Members which informed members that they were going to make vaccinations madatory by June 30
27/05/22: Message from the Commissioner formally announcing the mandate",
NSW-044,NSW,"Department of Creative Industries, Tourism, Hospitality and Sport COVID Vaccination Policy",Employment,"employees of the Department of Creative Industries, Tourism, Hospitality and Sport","healthcare, transport",2022-11-01,,,,False,"Category A are employees who work with people or in environments where the risk of transmission and the risk to those contracting the virus is high. This includes those employees that work in the field, have regular contact with external stakeholders, or work with vulnerable people and communities.
Category B are employees who work in the back office and have low level contact with external stakeholders.",,,,Updating the webpage,the document has been revised in Nov 2022 and Nov 2023 which indicates a mandate may have been in effect during that time,"Department of Creative Industries, Tourism, Hospitality and Sport",,
NSW-045,NSW,,Employment,NSW police force,emergency,,2021-09-30,,,False,"First dose by 30/09/21
Second dose by 30/11/21
Must provide evidence of vaccination","Exemptions to this requirement will include:
NSW Police Force members who are unable, due to a medical contraindication to receive a COVID-19 vaccine and present a medical contraindication certificate.
Any other NSW Police Force member as I determine appropriate, subject to consideration of their specific circumstances.
A total of 47 NSW Police Force staff have been granted a COVID 19 vaccine exemption as of 07.04.2022",,,,,Commissioner of Police,,NSWEPLF0000
NT-001,NT,Directions for Quarantine Workers,Employment,Quarantine workers,quarantine,2021-10-04,2021-10-15,2022-06-15,254.0,False,"First dose by 15/10/21
Second dose by 26/11/21 must provide evidence",,"The maximum penalty for failing to comply with a direction is 400 penalty units.
An infringement notice may be given for failing to comply with these Directions with a fine equal to 32 penalty units for an individual and 160 penalty units for a body corporate.","COVID-19 Directions (No. 53) 2021: Directions for Quarantine Workers
Post-emergency COVID-19 Directions (No. 1) 2022: Revocation of various directions",Revoked by COVID-19 Directions (No. 1) 2022: Revocation of various directions,,NT Chief Health Officer,,NTEHQW0000
NT-002,NT,Directions for mandatory vaccination of workers to attend the workplace,Employment,"(a) a worker who, during the course of work, is likely ot come into contact with a vulnerable person; (e.g. people working with children, disabled or elderly persons, health care, workers in Indigenous communities, retail services)
(b) a worker who is at risk of infection with COVID-19 because the worker, during the course of work, is likely to come into contact with a person or thing that poses a risk of infection; (e.g. health care workers in hospitals, police and emergency service workers, quaratine facilities, border control)
(c) a worker whose workplace poses a high risk of infection with COVID-19; (e.g. correction facilities, minign sites, food processing facilities, cruise vessels)
 (d) a worker who performs work that is necessary for the operation or maintenance of essential infrastructure or essential logistics in the Territory. (e.g. electricity, gas, water supply and sewerage treatment facilities, telecommunications systems and roads)
A comprehensive list is included in the directions","healthcare, transport, emergency",2021-10-13,2021-11-13,2022-06-15,245.0,False,"First dose by 13/11/21
Second dose by 25/12/21
must provide evidence","a worker may attend the worker's workplace without being vaccinated with an approved COVID-19 vaccine fi the worker has evidence of a contraindication to all approved COVID-19 vaccines.
Nothing in these Directions prevents a worker who is not vaccinated from working at a place where the worker, during the course of work:
(a) is not likely to come into contact with a vulnerable person; and
(b) is not likely to come into contact with a person or thing that poses a risk of infection with COVID-19; and
(c) is not likely to be exposed to a high risk of infection with COVID- 19.
Nothing in these Directions prevents a person conducting a business
or undertaking from making reasonable adjustments to accommodate
a worker who is not vaccinated
10/11/21 added - Voluteers, contractors and subcontractors are exempt","A person conducting a business must keep a resgister of the following information: (a)  workers who are vacccinated (b) steps taken to comply with the verification of evidence
10/11/21 added - Voluteers, contractors and subcontractors are exempt
The maximum penalty for failing to comply with a direction is 400 penalty units.
An infringement notice may be given for failing to comply with these Directions with a fine equal to 32 penalty units for an individual and 160 penalty units for a body corporate.
$5,000 fines for those who don't comply","COVID-19 Directions (No. 55) 2021:
Directions for mandatory vaccination of workers to attend the workplace
COVID-19 Directions (No. 81) 2021:
Directions for mandatory vaccination of workers to attend the workplace",Workplace mandate ended 15/6/22 Revoked by COVID-19 Directions (No. 1) 2022: Revocation of various directions,"10/11/21 - No.81 amended No.55 and is a consolidated version. Added section exempting volunteers, contractors and subcontractors
22/04/2022 Revoked by COVID-19 Directions (No. 53) 2022: Revocation of COVID-19 Directions (No. 55) 2021
Mandate still exists but a new direction was created to include 3 doses (COVID-19 Directions (No. 52) 2022)
Workplace mandate ended 15/6/22 Revoked by COVID-19 Directions (No. 1) 2022: Revocation of various directions",NT Chief Health Officer,,NTEALLT1V1
NT-003,NT,Directions for Freight workers,Employment,Frieght workers entering the Territory,other,2021-10-21,2021-11-01,2022-02-03,105.0,False,"First dose by 1/11/21
Second dose by 13/12/21
A freight worker must not enter the Territory unless the freight worker is vaccinated.
Provide evidence

A freight worker must not enter the Territory unless the freight worker
has a certificate issued by the Agency, valid as at the time of entry, certifying that the freight worker has a freight risk mitigation management plan approved by the Agency.","has a certificate issued by the Commonwealth that certifies that the
person has a permanent or temporary contraindication to all
approved COVID-19 vaccines.","The maximum penalty for failing to comply with a direction is 400 penalty units.
An infringement notice may be given for failing to comply with these Directions with a fine equal to 32 penalty units for an individual and 160 penalty units for a body corporate.","COVID-19 Directions (No. 132) 2021: Directions for freight workers
COVID-19 Directions (No. 38) 2022",Stated in directions that it will remain in force while the public health emergency declaration is in force,Revoked by COVID-19 Directions (No. 38) 2022,NT Chief Health Officer,,NTETFL0000
NT-004,NT,Directions to lock down Katherine,Public Space,People in Katherine except essential workers,public_space,2021-11-04,2021-11-05,2021-11-08,4.0,False,"essential workers must be fully vaccinated
Everyone else must follow lockdown rules","Workers in healthcare, food and supplies, utilities, transportation, education and childcare, emergency response and other essential services and businesses - see directions for specific details","The maximum penalty for failing to comply with a direction is 400 penalty units.
An infringement notice may be given for failing to comply with these Directions with a fine equal to 32 penalty units for an individual and 160 penalty units for a body corporate.","COVID-19 Directions (No. 59) 2021:
Directions to lock down Katherine",Stated in directions,5/11/21 - No. 59 replaced by No. 68 Directions to lock down Katherine,NT Chief Health Officer,,NTPPORT100
NT-005,NT,"Directions to lock out Darwin and surrounding areas of the
Territory
Directions to check vaccination status and to refuse service
and access to places, activities and services to unvaccinated
people",Public Space,"City of Darwin; City of Palmerston; Litchfield; Wagait Shire; Belyuen Shire; and the Darwin Waterfront Precinct and a few localities of the Territory (see directions for details)

NOTE: there were other directions that locked out similar areas at later dates but the content of the mandates are the same as this one",public_space,2021-11-04,2021-11-05,2021-11-09,5.0,False,"A person must not enter or exit the lockout areas
An unvaccinated person residing in the lockout area must not leave the premises they reside in
Restricted gatherings for unvaccinated people

Businesses in the lockout area must check any person entering the epremises and refuse entry to an unvaccinated person","A person must not enter or exit the lockout area unless:
(a) the person is one of the following who is performing a function
connected with the person's official work:
(i) an authorised officer;
(ii) a person performing functions under the Act or the Notifiable
Diseases Act 1981;
(iii) a vaccinated essential worker; or
the person is returning to the premises where the person resides in
the lockout area; or
(d) the person enters by aircraft, motor vehicle, public transport or bicycle for the purpose of travelling to a part of the Territory that is
outside the lockout area.
An unvaccinated person residing in the lockout area must not leave the premises unless its for exercise, to obtain goods and services from essential workers, to receive medical treatment etc (specified in directions)
Exempt businesses include an essential business, place, activity or service and a place for the conduct of a funeral with no more than 10 funeral attendees in total (see directions for list of essential businesses)
7/11/21 - added that a food outlet with fixed premises is exempt if in relation to any person who is attending the premises for takeaway only","The maximum penalty for failing to comply with a direction is 400 penalty units.
An infringement notice may be given for failing to comply with these Directions with a fine equal to 32 penalty units for an individual and 160 penalty units for a body corporate.","COVID-19 Directions (No. 61) 2021:
Directions to lock out Darwin and surrounding areas of the Territory
COVID-19 Directions (No. 62) 2021:
Directions to check vaccination status and to refuse service
and access to places, activities and services to unvaccinated
people",Stated in directions,"5/11/21 - No. 61 replaced by No. 67 Directions to lock out Darwin and surrounding areas
No. 62 replaced by No. 66 Directions to check vaccination status and to refuse service and access to places, activities and services to unvaccinated people
7/11/21 - No.66 revoked by No.72 Directions to check vaccination status and regualte service and access to places, activities and services in Darwin and surrounding areas of the Territory and in Katherine
8/11/21 - No.72 revoked by No.77 Directions to check vaccination status and regualte service and access to places, activities and services in Darwin lockout area to extend the end date from 8/11 to 9/11/21 but removed Katherine
8/11/21 - No.76 Directions to lock out Darwin and surrounding areas of the Territory extended the end date from 8/11/21 to 9/11/21 but removed Katherine",NT Chief Health Officer,,NTPPORT200
NT-006,NT,Directions for Aged Care Facilities in Darwin and surrounding areas of the Territory and Katherine,Employment,Aged care facilities in City of Darwin; City of Palmerston; Litchfield; Wagait Shire; Belyuen Shire; Municipality of Katherine and the Darwin Waterfront Precinct and a few localities of the Territory (see directions for details),aged_care,2021-11-05,2021-11-05,2021-11-08,3.0,False,Must be fully vaccinated to enter,"Must not enter or remain at an aged care facility unless the person is one of the following: (a) an officer, employee or contractor (b) a person providing goods or services necessary for the operation of the facility; (c) a person providing health, medical or pharmaceutical goods; (d) a person providing end of life support to a resident of the facility;
(e) a person required for emergency management or law enforcement;
(f) a legal practitioner providing legal services regarding end of life matters to a resident of the facility only fi the service cannot be provided remotely; (g) a visitor to the facility who is a fully vaccinated person.","The maximum penalty for failing to comply with a direction is 400 penalty units.
An infringement notice may be given for failing to comply with these Directions with a fine equal to 32 penalty units for an individual and 160 penalty units for a body corporate.","COVID-19 Directions (No. 63) 2021:
Directions for Aged Care Facilities in Darwin and surrounding areas of the Territory and Katherine",Stated in directions,,NT Chief Health Officer,,NTPRACT100
NT-007,NT,Directions for Aged Care Facilities in Darwin and surrounding areas of the Territory and Katherine,Public Space,Aged care facilities in City of Darwin; City of Palmerston; Litchfield; Wagait Shire; Belyuen Shire; Municipality of Katherine and the Darwin Waterfront Precinct and a few localities of the Territory (see directions for details),aged_care,2021-11-05,2021-11-05,2021-11-08,3.0,False,Must be fully vaccinated to enter,"Must not enter or remain at an aged care facility unless the person is one of the following: (a) an officer, employee or contractor (b) a person providing goods or services necessary for the operation of the facility; (c) a person providing health, medical or pharmaceutical goods; (d) a person providing end of life support to a resident of the facility;
(e) a person required for emergency management or law enforcement;
(f) a legal practitioner providing legal services regarding end of life matters to a resident of the facility only fi the service cannot be provided remotely; (g) a visitor to the facility who is a fully vaccinated person.","The maximum penalty for failing to comply with a direction is 400 penalty units.
An infringement notice may be given for failing to comply with these Directions with a fine equal to 32 penalty units for an individual and 160 penalty units for a body corporate.","COVID-19 Directions (No. 63) 2021:
Directions for Aged Care Facilities in Darwin and surrounding areas of the Territory and Katherine",Stated in directions,,NT Chief Health Officer,,NTPRACT100
NT-008,NT,Directions for Aged Care Facilities,Employment,Aged care facility workers,aged_care,2021-11-08,2021-11-08,2022-06-15,219.0,False,"A person who is an officer, employee or contractor of an aged care facility must not enter or remain on the premises of the aged care facility if the person is not a vaccinated person.
Must give evidence that the person is a vaccinated person.","not applied to those in the Municipality of Katherine while Direction no.87 is in force (15/11-18/11/21 during Katherine's lockdown)
24/11/21 - exmept means the person is under the age of 16 or has a certificate issued by the Commonwealth that certifies that the person has a permanent or temporary contraindication to all approved COVID-19 vaccines","The proprietor of the aged care facility must keep a record of the information provided.
33 Access to the information must be provided to an authorised officer on request by the officer.
The maximum penalty for failing to comply with a direction is 400 penalty units.
An infringement notice may be given for failing to comply with these Directions with a fine equal to 32 penalty units for an individual and 160 penalty units for a body corporate.",COVID-19 Directions (No. 75) 2021: Directions for Aged Care Facilities,"Stated in directions that it will remain in force while the public health emergency declaration is in force

Revoked by COVID-19 Directions (No. 1) 2022: Revocation of various directions",24/12/21 - No.75 revoked and replaced by No.141 to include another exemption clause,NT Chief Health Officer,,NTERACT100
NT-009,NT,Directions to lock down Katherine,Public Space,"the Municipality of Katherine

Directions do not apply to Binjari (20/11/21 to 7/12/21) and Rockhole (20/11/21 to 25/11/21) due to its hard lockdown",public_space,2021-11-15,2021-11-15,2021-12-04,19.0,False,"A person must not enter or exit the lockout areas
An unvaccinated person residing in the lockout area must not leave the premises they reside in
Restricted gatherings for unvaccinated people

25/11/21 - No. 102 Directions for intro-Territory travel: A person may exit Katherine and enter an approved home quarantine zone if the person:
(a) is a resident of the zone; and (b) is vaccinated or exempt; and (c) has submitted to an approved PCR COVID-19 testing procedure within 72 hours before exiting Katherine.","A person must not enter or exit the lockout area unless:
(a) the person is one of the following who is performing a function
connected with the person's official work:
(i) an authorised officer;
(ii) a person performing functions under the Act or the Notifiable
Diseases Act 1981;
(iii) a vaccinated essential worker; or
the person is returning to the premises where the person resides in
the lockout area; or
(d) the person enters by aircraft, motor vehicle, public transport or bicycle for the purpose of travelling to a part of the Territory that is
outside the lockout area.
An unvaccinated person residing in the lockout area must not leave the premises unless its for exercise, to obtain goods and services from essential workers, to receive medical treatment etc (specified in directions)
Exempt businesses include an essential business, place, activity or service and a place for the conduct of a funeral with no more than 10 funeral attendees in total (see directions for list of essential businesses)
a food outlet with fixed premises is exempt if in relation to any person who is attending the premises for takeaway only
Exempt person meaning: a) has received 2 doses of the COVID vaccine; or b) is 16 years or younger; or c) has a contraindiction to the COVID vaccine","The maximum penalty for failing to comply with a direction is 400 penalty units.
An infringement notice may be given for failing to comply with these Directions with a fine equal to 32 penalty units for an individual and 160 penalty units for a body corporate.",COVID-19 Directions (No. 85) 2021: Directions to lock down Katherine,Stated in directions,"16/11/21 - No.85 was amended by No.90. Changed the removal date of the lockdown in Katherine from 18/11 to 22/11
17/11/21 - No.86 was amended by No.91. Changed the removal date of the lockdown in Robinson River from 18/11 to 22/11
22/11/21 - No.85 was amended by No.98. Changed the removal date of the lockdown in Katherine from 22/11 to 24/11
24/11/21 - No. 85 amended by No.100 to change removal date from 21/11 to 4/12/21",NT Chief Health Officer,,NTPPORT300
NT-010,NT,Directions to lock down Robinson River and homelands,Public Space,the community known as Robinson River and homelands,public_space,2021-11-15,2021-11-15,2021-11-22,7.0,False,"A person must not enter or exit the lockout areas
An unvaccinated person residing in the lockout area must not leave the premises they reside in
Restricted gatherings for unvaccinated people","A person must not enter or exit the lockout area unless:
(a) the person is one of the following who is performing a function
connected with the person's official work:
(i) an authorised officer;
(ii) a person performing functions under the Act or the Notifiable
Diseases Act 1981;
(iii) a vaccinated essential worker; or
the person is returning to the premises where the person resides in
the lockout area; or
(d) the person enters by aircraft, motor vehicle, public transport or bicycle for the purpose of travelling to a part of the Territory that is
outside the lockout area.
An unvaccinated person residing in the lockout area must not leave the premises unless its for exercise, to obtain goods and services from essential workers, to receive medical treatment etc (specified in directions)
Exempt businesses include an essential business, place, activity or service and a place for the conduct of a funeral with no more than 10 funeral attendees in total (see directions for list of essential businesses)
a food outlet with fixed premises is exempt if in relation to any person who is attending the premises for takeaway only
Exempt person meaning: a) has received 2 doses of the COVID vaccine; or b) is 16 years or younger; or c) has a contraindiction to the COVID vaccine","The maximum penalty for failing to comply with a direction is 400 penalty units.
An infringement notice may be given for failing to comply with these Directions with a fine equal to 32 penalty units for an individual and 160 penalty units for a body corporate.","COVID-19 Directions (No. 86) 2021:
Directions to lock down Robinson River and homelands",Stated in directions,17/11/21 - No.86 was amended by No.91. Changed the removal date of the lockdown in Robinson River from 18/11 to 22/11,NT Chief Health Officer,,NTPPORT400
NT-011,NT,Directions for Aged Care Facilities in Darwin and surrounding areas of the Territory and Katherine,Employment,Aged care facilities in the Municipality of Katherine,aged_care,2021-11-15,2021-11-15,2021-12-04,19.0,False,Must be fully vaccinated to enter,"Must not enter or remain at an aged care facility unless the person is one of the following: (a) an officer, employee or contractor (b) a person providing goods or services necessary for the operation of the facility; (c) a person providing health, medical or pharmaceutical goods; (d) a person providing end of life support to a resident of the facility;
(e) a person required for emergency management or law enforcement;
(f) a legal practitioner providing legal services regarding end of life matters to a resident of the facility only fi the service cannot be provided remotely; (g) a visitor to the facility who is a fully vaccinated person.","The maximum penalty for failing to comply with a direction is 400 penalty units.
An infringement notice may be given for failing to comply with these Directions with a fine equal to 32 penalty units for an individual and 160 penalty units for a body corporate.","COVID-19 Directions (No. 87) 2021:
Directions for Aged Care Facilities in Katherine",Stated in directions,"18/11/21 - No.87 was amended by No.92. Changed the removal date of the from 18/11 to 22/11
22/11/21 - No.87 was amended by No.98. Changed the removal date from 22/11 to 24/11/21 - No.87 amended by No. 100 to change the removal date from 22/11 to 4/12/21",NT Chief Health Officer,,NTPRACT200
NT-012,NT,Directions for Aged Care Facilities in Darwin and surrounding areas of the Territory and Katherine,Public Space,Aged care facilities in the Municipality of Katherine,aged_care,2021-11-15,2021-11-15,2021-12-04,19.0,False,Must be fully vaccinated to enter,"Must not enter or remain at an aged care facility unless the person is one of the following: (a) an officer, employee or contractor (b) a person providing goods or services necessary for the operation of the facility; (c) a person providing health, medical or pharmaceutical goods; (d) a person providing end of life support to a resident of the facility;
(e) a person required for emergency management or law enforcement;
(f) a legal practitioner providing legal services regarding end of life matters to a resident of the facility only fi the service cannot be provided remotely; (g) a visitor to the facility who is a fully vaccinated person.","The maximum penalty for failing to comply with a direction is 400 penalty units.
An infringement notice may be given for failing to comply with these Directions with a fine equal to 32 penalty units for an individual and 160 penalty units for a body corporate.","COVID-19 Directions (No. 87) 2021:
Directions for Aged Care Facilities in Katherine",Stated in directions,"18/11/21 - No.87 was amended by No.92. Changed the removal date of the from 18/11 to 22/11
22/11/21 - No.87 was amended by No.98. Changed the removal date from 22/11 to 24/11/21 - No.87 amended by No. 100 to change the removal date from 22/11 to 4/12/21",NT Chief Health Officer,,NTPRACT200
NT-013,NT,Directions for Territory border restrictions,Public Space,People entering the territory,public_space,2021-11-21,2021-11-22,2022-02-18,89.0,False,"A person must not enter the Territory unless the person:
(a) is a resident of the Territory; or
(b) is vaccinated or exempt; or
(c) applies for and is given an exemption under Division 2 (see directions for full list); or
(d) is an aircrew member.
22/11/21 added (e) is entering a hospital in an emergency or for another urgent medical reason
arrives on a flight facilitated by the 18/12/21 added (f) Commonwealth Department of Foreign Affairs and Trade and is entering quarantine;
23/02/22 - amended by No.44 to only apply to ""a person who arrives in the Territory on a flight facilitated by the Commonwealth Department of Foreign Affairs and Trade, other than the following: a) a passenger who is vaccinated or exempt; b) a member of the crew of the facilitated flight""","is under the age of 12 years; or
(c) is a worker to whom my COVID-19 Directions (No. 55) 2021 (or
any subsequent Directions that replace and substantially
correspond to those Directions) apply at a workplace specified in
item 3(c) or 4 of the Schedule to those Directions and the person
has complied with direction 6 of those Directions; or
(d) has a certificate issued by the Commonwealth that certifies that the
person has a permanent or temporary contraindication to all
approved COVID-19 vaccines.","The maximum penalty for failing to comply with a direction is 400 penalty units.
An infringement notice may be given for failing to comply with these Directions with a fine equal to 32 penalty units for an individual and 160 penalty units for a body corporate.","COVID-19 Directions (No. 96) 2021:
Directions for Territory border restrictions
COVID-19 Directions (No. 43) 2022: Revocation of border directions","Stated in directions that it will remain in force while the public health emergency declaration is in force
18/02/22 - revoked by COVID-19 Directions No.43 2022","22/11/21 - No.99 amended No.96 added another exemption clause about entering a hospital in an emergency
31/01/22 - No.131 2021 amended by No.35 2022. Removed the high risk place clause and some others. Refer to directions for further detail.
18/02/22 revoked by COVID-19 Directions No.43 2022 for everything except a passenger (but not a member of the crew) who enters the Territory on a flight facilitated by the Commonwealth Department of Foreign Affairs and Trade.
23/02/22 - amended by No.44 ""a person who arrives in the Territory on a flight facilitated by the Commonwealth Department of Foreign Affairs and Trade, other than the following: a) a passenger who is vaccinated or exempt; b) a member of the crew of the facilitated flight""",NT Chief Health Officer,,NTPISTT100
NT-014,NT,"Directions requiring evidence of vaccination or exemption for places, businesses, activities, services and premises",Public Space,"1 Premises that sell liquor for consumption; 
2 A cinema, theatre, concert hall, music hall, dance hall etc; 3 A casino; 4 A business that holds a gaming machine licence
5 Any place or premises that:
(a) conducts an event or public gathering that is ticketed; and (b) is expected to have more than 500 people in attendance; and
(c) is located in any of the following places:
(i) Municipality of Darwin; (ii) Darwin Waterfront Precinct;(iii) Municipality of Palmerston; (iv) Municipality of Litchfield; (v) Town of Katherine; (vi) Town of Tennant Creek; (vii) Town of Alice Springs.
6 Any place or premises that:
(a) conducts an event or public gathering that is ticketed or open to the public; and
(b) is expected to have more than 100 people in attendance; and
(c) is not located in any of the places specified in item 5(c).",public_space,2022-01-10,2022-01-10,2022-04-04,84.0,False,"Must be fully vaccinated (2 doses) to enter
Must provide evidence of both doses","Premises used exclusively for exercise
People under 16 years of age
29/03/22 - added ""(b) a person aged 16 years or older entering a place, business or premises or beginning an activity or service in connection with the person's middle or secondary school education."" and
""to a person entering a place, business or premises or beginning an activity or service listed in the Schedule that is used for exercise or for sport if the person is: (a) participating in sport or exercise or observing sport; and (b) not purchasing liquor for consumption.","a person in authority may request and collect immunisation information and destroy that evidence no later than 48 hours afterwards, ensure any copy of the evidence or certificate is secured against access by any person for any other purposes and ensure that any copy of the evidence or certificate given to the person is not disclosed
The maximum penalty for failing to comply with a direction is 400 penalty units.
An infringement notice may be given for failing to comply with these Directions with a fine equal to 32 penalty units for an individual and 160 penalty units for a body corporate.","COVID-19 Directions (No. 08) 2022:
Directions requiring evidence of vaccination or exemption for places, businesses, activities, services and premises
COVID-19 Directions (No. 14) 2022:
Amendment of COVID-19 Directions (No. 8) 2022
COVID-19 Directions (No. 57) 2022:
Revocation of COVID-19 Directions (No. 08) 2021","Stated in directions that it will remain in force while the public health emergency declaration is in force
04/04/22 - revoked by COVID-19 Directions No.47 2022","No.14 amended No.08 by adding a clause that allows people to collect and pay for food or beverages for consumption away from place, business or premises 
29/03/22 - No. 55 amended No.08 by adding some more exemptions
04/04/22 - revoked by COVID-19 Directions No.47 2022",NT Chief Health Officer,,NTPVAET100
NT-015,NT,Directions for lock in areas,Public Space,People in lock in areas,public_space,2022-01-30,2022-01-30,2022-06-15,136.0,False,A person must not exit a lock-in area,"Official Duties:
- Authorised officers.
- Persons performing functions under the Act or the Notifiable Diseases Act 1981.
- Essential workers who are vaccinated or have a contraindication to vaccination.
- Freight workers.
Medical and Health-related Reasons:
- Infected individuals needing to isolate.
- Persons suspected of having COVID-19 needing testing or assessment.
- Persons receiving medical treatment, testing, or vaccination related to COVID-19.
Legal and Administrative Purposes:
- Persons required to leave by law.
- Persons involved in justice system activities (e.g., attending court, police stations).
Essential Services:
- Obtaining goods or services from essential workers.
- Depositing waste when there's no local waste collection service.
Personal and Family Support:
- Providing care or support to family members or others unable to care for themselves.
- Childcare and education-related activities (dropping off/collecting children, attending school).
- Parents or guardians taking children to other parents or guardians.
Check directions for more detail
4/03/22 - added ""An Aboriginal person who leads or conducts cultural rituals or ceremonies is an essential worker for these Directions.""","The maximum penalty for failing to comply with a direction is 400 penalty units.
An infringement notice may be given for failing to comply with these Directions with a fine equal to 32 penalty units for an individual and 160 penalty units for a body corporate.","COVID-19 Directions (No. 33) 2022:
Directions for lock-in areas","Stated in directions that it will remain in force while the public health emergency declaration is in force

Revoked by COVID-19 Directions (No. 1) 2022: Revocation of various directions","4/02/2022 - No. 39 amended No.33 by adding in some more exemption clauses
4/03/22 - No. 48 amended No. 33 by adding ""An Aboriginal person who leads or conducts cultural rituals or ceremonies is an essential worker for these Directions.""",NT Chief Health Officer,,NTPPORT500
NT-016,NT,Directions for maritime crew,Employment,Maritime crew on commercial vessels,other,2022-02-03,2022-02-03,2022-02-18,15.0,False,Crew members must be vaccinated and quarantine,"A crew member who is not vaccinated or exempt may apply for an
exemption to enter the Territory if the crew member is any of the
following:
(a) a crew member who is entering the Territory to begin residence in
the Territory;
(b) a crew member escaping domestic violence;
(c) active Australian military personnel required to assist the Territory
or required to enter the Territory while performing their official
duties;
(d) a specialist coming to the Territory to provide services for the
continuity of industry or business and the maintenance of
competitive operations if:
(i) the specialist's skills are difficult to obtain in the Territory; and
(ii) the service must be provided without delay; and
(iii) the specialist must be physically present in the Territory to
provide the service;
(e) a crew member coming to the Territory for necessary maintenance
or repair of power, water, communications or other infrastructure
critical to the Territory;
(f) a crew member, other than an abattoir or meat packing worker,
coming to the Territory to provide urgent services that are critical
to ensure continuity of the agricultural industry;
(g) a crew member who needs to enter the Territory for a
compassionate purpose.","Must record vaccination details when entering the territory
The maximum penalty for failing to comply with a direction is 400 penalty units.
An infringement notice may be given for failing to comply with these Directions with a fine equal to 32 penalty units for an individual and 160 penalty units for a body corporate.","COVID-19 Directions (No. 37) 2022:
Directions for maritime crew
COVID-19 Directions (No. 43) 2022: Revocation of border directions","Stated in directions that it will remain in force while the public health emergency declaration is in force
18/02/22 - revoked by COVID-19 Directions No.43 2022",,NT Chief Health Officer,,NTEPOW0000
